	sentence_A_Ja	sentence_B_Ja	entailment_label_Ja	heuristics	number_of_NPs	semtag	split
83	男性がフットボール選手を指さしている	フットボール選手を男性が指さしている	entailment	overlap-full	2	scrambling	train
84	男の子がライダーを追い回した	ライダーを男の子が追い回した	entailment	overlap-full	2	scrambling	train
85	男の子が老人を追い回した	老人を男の子が追い回した	entailment	overlap-full	2	scrambling	test
86	サーファーがホッケー選手をたたいている	ホッケー選手をサーファーがたたいている	entailment	overlap-full	2	scrambling	train
87	ライダーが若者をにらんでいる	若者をライダーがにらんでいる	entailment	overlap-full	2	scrambling	train
88	女性が男性を蹴った	男性を女性が蹴った	entailment	overlap-full	2	scrambling	train
89	女の子がカップルをたたいている	カップルを女の子がたたいている	entailment	overlap-full	2	scrambling	train
90	子供が女性をにらんでいる	女性を子供がにらんでいる	entailment	overlap-full	2	scrambling	train
91	男性が女の子を追い払った	女の子を男性が追い払った	entailment	overlap-full	2	scrambling	train
92	カップルがスノーボーダーを助けた	スノーボーダーをカップルが助けた	entailment	overlap-full	2	scrambling	train
93	学生が若者をたたいている	若者を学生がたたいている	entailment	overlap-full	2	scrambling	train
94	ライダーが女の子を助けた	女の子をライダーが助けた	entailment	overlap-full	2	scrambling	train
95	子供がホッケー選手を蹴った	ホッケー選手を子供が蹴った	entailment	overlap-full	2	scrambling	train
96	テニス選手がフットボール選手を見ている	フットボール選手をテニス選手が見ている	entailment	overlap-full	2	scrambling	train
97	子供が大人を追い払った	大人を子供が追い払った	entailment	overlap-full	2	scrambling	train
98	フットボール選手が女の子を押した	女の子をフットボール選手が押した	entailment	overlap-full	2	scrambling	train
99	女性がフットボール選手を見つめている	フットボール選手を女性が見つめている	entailment	overlap-full	2	scrambling	train
100	学生がライダーを追い回した	ライダーは学生が追い回した	entailment	overlap-nonorder	2	scrambling	test
101	若者が会社員を指さしている	会社員は若者が指さしている	entailment	overlap-nonorder	2	scrambling	train
102	女の子が老人を押した	老人は女の子が押した	entailment	overlap-nonorder	2	scrambling	train
103	カップルが女性を指さしている	女性はカップルが指さしている	entailment	overlap-nonorder	2	scrambling	train
104	若者がフットボール選手を見ている	フットボール選手は若者が見ている	entailment	overlap-nonorder	2	scrambling	train
105	カップルが子供をにらんでいる	子供はカップルがにらんでいる	entailment	overlap-nonorder	2	scrambling	train
106	若者が男の子を蹴った	男の子は若者が蹴った	entailment	overlap-nonorder	2	scrambling	train
107	ライダーが男性を追いかけている	男性はライダーが追いかけている	entailment	overlap-nonorder	2	scrambling	train
108	男性が学生を見つめている	学生は男性が見つめている	entailment	overlap-nonorder	2	scrambling	train
109	ライダーがカップルを追い払った	カップルはライダーが追い払った	entailment	overlap-nonorder	2	scrambling	train
110	学生がカップルを指さしている	カップルは学生が指さしている	entailment	overlap-nonorder	2	scrambling	train
111	会社員がテニス選手を押した	テニス選手は会社員が押した	entailment	overlap-nonorder	2	scrambling	train
112	フットボール選手がライダーを追い払った	ライダーはフットボール選手が追い払った	entailment	overlap-nonorder	2	scrambling	train
113	若者がカップルを追い回した	カップルは若者が追い回した	entailment	overlap-nonorder	2	scrambling	train
114	ホッケー選手が若者を助けた	若者はホッケー選手が助けた	entailment	overlap-nonorder	2	scrambling	train
115	カップルが若者を見ている	若者はカップルが見ている	entailment	overlap-nonorder	2	scrambling	train
116	女性が女の子を追い払った	女の子は女性が追い払った	entailment	overlap-nonorder	2	scrambling	train
117	学生が大人を助けた	大人は学生が助けた	entailment	overlap-nonorder	2	scrambling	train
118	老人が会社員をにらんでいる	会社員は老人がにらんでいる	entailment	overlap-nonorder	2	scrambling	train
119	会社員がカップルを見ている	カップルは会社員が見ている	entailment	overlap-nonorder	2	scrambling	train
120	学生が若者を追いかけている	若者は学生が追いかけている	entailment	overlap-nonorder	2	scrambling	train
121	子供がフットボール選手を追い回した	フットボール選手は子供が追い回した	entailment	overlap-nonorder	2	scrambling	train
122	スノーボーダーがフットボール選手をたたいている	フットボール選手はスノーボーダーがたたいている	entailment	overlap-nonorder	2	scrambling	train
123	老人がライダーを助けた	ライダーは老人が助けた	entailment	overlap-nonorder	2	scrambling	train
124	男性が若者を助けた	若者は男性が助けた	entailment	overlap-nonorder	2	scrambling	train
125	フットボール選手が老人を蹴った	老人はフットボール選手が蹴った	entailment	overlap-nonorder	2	scrambling	train
126	若者がテニス選手を押した	テニス選手は若者が押した	entailment	overlap-nonorder	2	scrambling	train
127	ホッケー選手がサーファーを追い回した	サーファーはホッケー選手が追い回した	entailment	overlap-nonorder	2	scrambling	train
128	会社員が男の子を見ている	男の子は会社員が見ている	entailment	overlap-nonorder	2	scrambling	train
129	若者がテニス選手を助けた	テニス選手は若者が助けた	entailment	overlap-nonorder	2	scrambling	train
130	サーファーがホッケー選手をいじめている	ホッケー選手はサーファーがいじめている	entailment	overlap-nonorder	2	scrambling	train
131	男の子がカップルをいじめている	カップルは男の子がいじめている	entailment	overlap-nonorder	2	scrambling	train
132	学生が女性を押した	女性は学生が押した	entailment	overlap-nonorder	2	scrambling	test
133	学生がホッケー選手をたたいている	ホッケー選手は学生がたたいている	entailment	overlap-nonorder	2	scrambling	train
134	会社員が男の子を追い回した	男の子は会社員が追い回した	entailment	overlap-nonorder	2	scrambling	train
135	サーファーが女の子を見ている	女の子はサーファーが見ている	entailment	overlap-nonorder	2	scrambling	train
136	老人が子供を追い回した	子供は老人が追い回した	entailment	overlap-nonorder	2	scrambling	train
137	学生がスノーボーダーをにらんでいる	スノーボーダーは学生がにらんでいる	entailment	overlap-nonorder	2	scrambling	train
138	テニス選手が会社員を追い回した	会社員はテニス選手が追い回した	entailment	overlap-nonorder	2	scrambling	train
139	カップルがライダーをいじめている	ライダーはカップルがいじめている	entailment	overlap-nonorder	2	scrambling	train
140	ホッケー選手が大人を追い回した	大人はホッケー選手が追い回した	entailment	overlap-nonorder	2	scrambling	train
141	女の子が若者を追い払った	若者は女の子が追い払った	entailment	overlap-nonorder	2	scrambling	train
142	ホッケー選手がサーファーをにらんでいる	サーファーはホッケー選手がにらんでいる	entailment	overlap-nonorder	2	scrambling	train
143	子供が男の子をいじめている	男の子は子供がいじめている	entailment	overlap-nonorder	2	scrambling	train
144	フットボール選手がカップルを見つめている	カップルはフットボール選手が見つめている	entailment	overlap-nonorder	2	scrambling	train
145	老人がサーファーを見つめている	サーファーは老人が見つめている	entailment	overlap-nonorder	2	scrambling	train
146	老人がスノーボーダーを蹴った	スノーボーダーは老人が蹴った	entailment	overlap-nonorder	2	scrambling	train
147	会社員がホッケー選手を見つめている	ホッケー選手は会社員が見つめている	entailment	overlap-nonorder	2	scrambling	train
148	テニス選手がカップルを見ている	カップルはテニス選手が見ている	entailment	overlap-nonorder	2	scrambling	train
149	フットボール選手が子供を追い回した	子供はフットボール選手が追い回した	entailment	overlap-nonorder	2	scrambling	train
150	会社員が男性を指さしている	男性は会社員が指さしている	entailment	overlap-nonorder	2	scrambling	train
151	スノーボーダーがサーファーを追い回した	サーファーはスノーボーダーが追い回した	entailment	overlap-nonorder	2	scrambling	train
152	ライダーが大人を助けた	大人はライダーが助けた	entailment	overlap-nonorder	2	scrambling	train
153	ライダーが老人を追いかけている	老人はライダーが追いかけている	entailment	overlap-nonorder	2	scrambling	train
154	若者が子供をいじめている	子供は若者がいじめている	entailment	overlap-nonorder	2	scrambling	train
155	サーファーが男の子をにらんでいる	男の子はサーファーがにらんでいる	entailment	overlap-nonorder	2	scrambling	train
156	ライダーが子供を追い払った	子供はライダーが追い払った	entailment	overlap-nonorder	2	scrambling	train
157	テニス選手がフットボール選手を追い払った	フットボール選手はテニス選手が追い払った	entailment	overlap-nonorder	2	scrambling	train
158	老人が女の子をいじめている	女の子は老人がいじめている	entailment	overlap-nonorder	2	scrambling	train
159	ライダーがサーファーを押した	サーファーはライダーが押した	entailment	overlap-nonorder	2	scrambling	train
160	男性がカップルをたたいている	カップルは男性がたたいている	entailment	overlap-nonorder	2	scrambling	train
161	大人が学生を見つめている	学生は大人が見つめている	entailment	overlap-nonorder	2	scrambling	train
162	会社員がスノーボーダーを見つめている	スノーボーダーは会社員が見つめている	entailment	overlap-nonorder	2	scrambling	train
163	テニス選手がサーファーを蹴った	サーファーはテニス選手が蹴った	entailment	overlap-nonorder	2	scrambling	train
164	ライダーが学生を追い払った	学生はライダーが追い払った	entailment	overlap-nonorder	2	scrambling	train
165	女性がカップルを追い払った	カップルは女性が追い払った	entailment	overlap-nonorder	2	scrambling	train
166	女性が老人をいじめている	老人は女性がいじめている	entailment	overlap-nonorder	2	scrambling	train
167	若者がホッケー選手を見つめている	ホッケー選手は若者が見つめている	entailment	overlap-nonorder	2	scrambling	train
168	若者がライダーを追いかけている	ライダーは若者が追いかけている	entailment	overlap-nonorder	2	scrambling	train
169	女の子がサーファーを見ている	サーファーは女の子が見ている	entailment	overlap-nonorder	2	scrambling	train
170	女性が男性を見ている	男性は女性が見ている	entailment	overlap-nonorder	2	scrambling	train
171	子供がスノーボーダーをたたいている	スノーボーダーは子供がたたいている	entailment	overlap-nonorder	2	scrambling	train
172	サーファーがフットボール選手を押した	フットボール選手はサーファーが押した	entailment	overlap-nonorder	2	scrambling	train
173	若者が大人を見つめている	大人は若者が見つめている	entailment	overlap-nonorder	2	scrambling	train
174	ホッケー選手が男性を指さしている	男性はホッケー選手が指さしている	entailment	overlap-nonorder	2	scrambling	train
175	ライダーが子供をたたいている	子供はライダーがたたいている	entailment	overlap-nonorder	2	scrambling	train
176	ライダーが会社員を追い回した	会社員はライダーが追い回した	entailment	overlap-nonorder	2	scrambling	train
177	テニス選手が男性を追いかけている	男性はテニス選手が追いかけている	entailment	overlap-nonorder	2	scrambling	train
178	子供が大人を指さしている	大人は子供が指さしている	entailment	overlap-nonorder	2	scrambling	train
179	男の子が大人をいじめている	大人は男の子がいじめている	entailment	overlap-nonorder	2	scrambling	train
180	フットボール選手が会社員をたたいている	会社員はフットボール選手がたたいている	entailment	overlap-nonorder	2	scrambling	train
181	フットボール選手が大人をにらんでいる	大人はフットボール選手がにらんでいる	entailment	overlap-nonorder	2	scrambling	train
182	女の子が老人を追い回した	老人は女の子が追い回した	entailment	overlap-nonorder	2	scrambling	train
183	女の子が老人をたたいている	老人は女の子がたたいている	entailment	overlap-nonorder	2	scrambling	train
184	ライダーが学生を指さしている	学生はライダーが指さしている	entailment	overlap-nonorder	2	scrambling	train
185	女性が子供をにらんでいる	子供は女性がにらんでいる	entailment	overlap-nonorder	2	scrambling	train
186	老人がライダーをたたいている	ライダーは老人がたたいている	entailment	overlap-nonorder	2	scrambling	train
187	スノーボーダーが男の子を蹴った	男の子はスノーボーダーが蹴った	entailment	overlap-nonorder	2	scrambling	train
188	大人が会社員を見つめている	会社員は大人が見つめている	entailment	overlap-nonorder	2	scrambling	train
189	男の子が学生を見ている	学生は男の子が見ている	entailment	overlap-nonorder	2	scrambling	train
190	ライダーが老人を追いかけている	老人はライダーが追いかけている	entailment	overlap-nonorder	2	scrambling	train
191	フットボール選手がカップルをたたいている	カップルはフットボール選手がたたいている	entailment	overlap-nonorder	2	scrambling	train
192	男の子が女性を追い払った	女性は男の子が追い払った	entailment	overlap-nonorder	2	scrambling	train
193	男の子が学生を押した	学生は男の子が押した	entailment	overlap-nonorder	2	scrambling	test
194	会社員が学生を追い払った	学生は会社員が追い払った	entailment	overlap-nonorder	2	scrambling	test
195	フットボール選手が男の子をたたいている	男の子はフットボール選手がたたいている	entailment	overlap-nonorder	2	scrambling	train
196	サーファーがフットボール選手を追いかけている	フットボール選手はサーファーが追いかけている	entailment	overlap-nonorder	2	scrambling	train
197	老人が会社員を見ている	会社員は老人が見ている	entailment	overlap-nonorder	2	scrambling	train
198	男性がライダーをいじめている	ライダーは男性がいじめている	entailment	overlap-nonorder	2	scrambling	test
199	大人がテニス選手を見ている	テニス選手は大人が見ている	entailment	overlap-nonorder	2	scrambling	train
200	ホッケー選手が男の子を助けた	ホッケー選手を男の子が助けた	non-entailment	overlap-full	2	scrambling	train
201	フットボール選手が会社員を見つめている	フットボール選手を会社員が見つめている	non-entailment	overlap-full	2	scrambling	train
202	若者がフットボール選手を押した	若者をフットボール選手が押した	non-entailment	overlap-full	2	scrambling	train
203	会社員が女の子を助けた	会社員を女の子が助けた	non-entailment	overlap-full	2	scrambling	train
204	老人が女性を追い回した	老人を女性が追い回した	non-entailment	overlap-full	2	scrambling	train
205	子供がフットボール選手を見つめている	子供をフットボール選手が見つめている	non-entailment	overlap-full	2	scrambling	train
206	若者が男の子を追いかけている	若者を男の子が追いかけている	non-entailment	overlap-full	2	scrambling	train
207	フットボール選手が老人を追い回した	フットボール選手を老人が追い回した	non-entailment	overlap-full	2	scrambling	train
208	テニス選手がフットボール選手を押した	テニス選手をフットボール選手が押した	non-entailment	overlap-full	2	scrambling	train
209	男の子がライダーを追い回した	男の子をライダーが追い回した	non-entailment	overlap-full	2	scrambling	train
210	会社員が老人を追い払った	会社員を老人が追い払った	non-entailment	overlap-full	2	scrambling	train
211	ホッケー選手がテニス選手を助けた	ホッケー選手をテニス選手が助けた	non-entailment	overlap-full	2	scrambling	train
212	男性が大人を見つめている	男性を大人が見つめている	non-entailment	overlap-full	2	scrambling	train
213	カップルが学生を見つめている	カップルを学生が見つめている	non-entailment	overlap-full	2	scrambling	train
214	男の子がライダーをたたいている	男の子をライダーがたたいている	non-entailment	overlap-full	2	scrambling	train
215	学生が女性を追い払った	学生を女性が追い払った	non-entailment	overlap-full	2	scrambling	train
216	男性が会社員を追い回した	男性を会社員が追い回した	non-entailment	overlap-full	2	scrambling	train
217	女性が大人を押した	女性を大人が押した	non-entailment	overlap-full	2	scrambling	train
218	女の子がサーファーをたたいている	女の子をサーファーがたたいている	non-entailment	overlap-full	2	scrambling	train
219	若者が大人を追い払った	若者を大人が追い払った	non-entailment	overlap-full	2	scrambling	train
220	カップルがスノーボーダーを押した	カップルをスノーボーダーが押した	non-entailment	overlap-full	2	scrambling	train
221	女の子がフットボール選手を押した	女の子をフットボール選手が押した	non-entailment	overlap-full	2	scrambling	train
222	女の子がテニス選手をにらんでいる	女の子をテニス選手がにらんでいる	non-entailment	overlap-full	2	scrambling	train
223	大人が会社員をにらんでいる	大人を会社員がにらんでいる	non-entailment	overlap-full	2	scrambling	train
224	老人がフットボール選手を追いかけている	老人をフットボール選手が追いかけている	non-entailment	overlap-full	2	scrambling	train
225	フットボール選手がスノーボーダーを助けた	フットボール選手をスノーボーダーが助けた	non-entailment	overlap-full	2	scrambling	train
226	学生がカップルをいじめている	学生をカップルがいじめている	non-entailment	overlap-full	2	scrambling	train
227	若者が女の子を追いかけている	若者を女の子が追いかけている	non-entailment	overlap-full	2	scrambling	train
228	若者が学生を押した	若者を学生が押した	non-entailment	overlap-full	2	scrambling	train
229	学生がテニス選手を蹴った	学生をテニス選手が蹴った	non-entailment	overlap-full	2	scrambling	train
230	サーファーがカップルを追いかけている	サーファーをカップルが追いかけている	non-entailment	overlap-full	2	scrambling	train
231	大人がライダーをいじめている	大人をライダーがいじめている	non-entailment	overlap-full	2	scrambling	train
232	子供が男性を助けた	子供を男性が助けた	non-entailment	overlap-full	2	scrambling	train
233	大人が男性を追い回した	大人を男性が追い回した	non-entailment	overlap-full	2	scrambling	train
234	女の子が大人を見ている	女の子を大人が見ている	non-entailment	overlap-full	2	scrambling	train
235	女性が学生を追い回した	女性を学生が追い回した	non-entailment	overlap-full	2	scrambling	train
236	若者が男性をにらんでいる	若者を男性がにらんでいる	non-entailment	overlap-full	2	scrambling	train
237	スノーボーダーがフットボール選手を助けた	スノーボーダーをフットボール選手が助けた	non-entailment	overlap-full	2	scrambling	train
238	フットボール選手がホッケー選手を追い回した	フットボール選手をホッケー選手が追い回した	non-entailment	overlap-full	2	scrambling	train
239	男性がフットボール選手を押した	男性をフットボール選手が押した	non-entailment	overlap-full	2	scrambling	train
240	ホッケー選手が男性を押した	ホッケー選手を男性が押した	non-entailment	overlap-full	2	scrambling	train
241	ホッケー選手が会社員をにらんでいる	ホッケー選手を会社員がにらんでいる	non-entailment	overlap-full	2	scrambling	train
242	若者がホッケー選手を見ている	若者をホッケー選手が見ている	non-entailment	overlap-full	2	scrambling	train
243	会社員がスノーボーダーを押した	会社員をスノーボーダーが押した	non-entailment	overlap-full	2	scrambling	train
244	学生が女の子をいじめている	学生を女の子がいじめている	non-entailment	overlap-full	2	scrambling	train
245	会社員が男の子を見つめている	会社員を男の子が見つめている	non-entailment	overlap-full	2	scrambling	train
246	男の子がホッケー選手を見つめている	男の子をホッケー選手が見つめている	non-entailment	overlap-full	2	scrambling	train
247	若者が子供を見つめている	若者を子供が見つめている	non-entailment	overlap-full	2	scrambling	train
248	女の子が女性を見つめている	女の子を女性が見つめている	non-entailment	overlap-full	2	scrambling	train
249	ライダーが女の子を追いかけている	ライダーを女の子が追いかけている	non-entailment	overlap-full	2	scrambling	train
250	カップルがテニス選手を押した	カップルをテニス選手が押した	non-entailment	overlap-full	2	scrambling	train
251	カップルが女性を押した	カップルを女性が押した	non-entailment	overlap-full	2	scrambling	test
252	女の子がサーファーを見つめている	女の子をサーファーが見つめている	non-entailment	overlap-full	2	scrambling	train
253	カップルがスノーボーダーを見ている	カップルをスノーボーダーが見ている	non-entailment	overlap-full	2	scrambling	train
254	学生がカップルを追い回した	学生をカップルが追い回した	non-entailment	overlap-full	2	scrambling	train
255	フットボール選手がスノーボーダーを追い回した	フットボール選手をスノーボーダーが追い回した	non-entailment	overlap-full	2	scrambling	train
256	若者が学生を追い払った	若者を学生が追い払った	non-entailment	overlap-full	2	scrambling	train
257	男の子が老人を追い払った	男の子を老人が追い払った	non-entailment	overlap-full	2	scrambling	train
258	女の子が男の子を見つめている	女の子を男の子が見つめている	non-entailment	overlap-full	2	scrambling	train
259	テニス選手がサーファーを追い回した	テニス選手をサーファーが追い回した	non-entailment	overlap-full	2	scrambling	test
260	ホッケー選手が学生を追いかけている	ホッケー選手を学生が追いかけている	non-entailment	overlap-full	2	scrambling	train
261	スノーボーダーが会社員をたたいている	スノーボーダーを会社員がたたいている	non-entailment	overlap-full	2	scrambling	train
262	学生がフットボール選手を見ている	学生をフットボール選手が見ている	non-entailment	overlap-full	2	scrambling	train
263	学生がサーファーを蹴った	学生をサーファーが蹴った	non-entailment	overlap-full	2	scrambling	train
264	女の子が子供を追い回した	女の子を子供が追い回した	non-entailment	overlap-full	2	scrambling	train
265	ライダーが男の子を追いかけている	ライダーを男の子が追いかけている	non-entailment	overlap-full	2	scrambling	train
266	男性がライダーを追いかけている	男性をライダーが追いかけている	non-entailment	overlap-full	2	scrambling	train
267	サーファーがライダーをたたいている	サーファーをライダーがたたいている	non-entailment	overlap-full	2	scrambling	train
268	子供が大人を追い払った	子供を大人が追い払った	non-entailment	overlap-full	2	scrambling	train
269	カップルがフットボール選手を見つめている	カップルをフットボール選手が見つめている	non-entailment	overlap-full	2	scrambling	train
270	学生が若者をたたいている	学生を若者がたたいている	non-entailment	overlap-full	2	scrambling	train
271	フットボール選手がカップルをにらんでいる	フットボール選手をカップルがにらんでいる	non-entailment	overlap-full	2	scrambling	train
272	子供が学生を追い払った	子供を学生が追い払った	non-entailment	overlap-full	2	scrambling	train
273	子供が若者をたたいている	子供を若者がたたいている	non-entailment	overlap-full	2	scrambling	test
274	フットボール選手がサーファーを追いかけている	フットボール選手をサーファーが追いかけている	non-entailment	overlap-full	2	scrambling	train
275	サーファーがスノーボーダーを見ている	サーファーをスノーボーダーが見ている	non-entailment	overlap-full	2	scrambling	train
276	学生がフットボール選手を追いかけている	学生をフットボール選手が追いかけている	non-entailment	overlap-full	2	scrambling	train
277	スノーボーダーが女の子を見つめている	スノーボーダーを女の子が見つめている	non-entailment	overlap-full	2	scrambling	train
